wavelength,r0_ref,run_number,num_airy,power_in_bucket_before_turbulance,total_power_before_turbulance,precentage_before_turbulance,power_in_bucket_after_turbulance,total_power_after_turbulance,precentage_after_turbulance,conservation_of_energy[%],power_after_AO,time
1.55e-06,0.1,5,2,0.8599551125283651,0.8599551125283651,1.0,0.7869636431221134,7.51037499285788e-05,9.543484071337833e-05,78.69636431221137,0.8115477335972566,2025-12-02 23:01:34
1.55e-06,0.1,1,3,0.8845039380027968,0.8845039380027968,1.0,0.8744613389384446,0.028384166952164877,0.032459030134622,87.4461338938445,0.8456825189024363,2025-12-02 23:08:04
1.55e-06,0.1,2,3,0.8845039380027968,0.8845039380027968,1.0,0.8731930093811381,0.0139501815103977,0.01597605725254795,87.31930093811386,0.8424401627216395,2025-12-02 23:14:31
1.55e-06,0.1,3,3,0.8845039380027968,0.8845039380027968,1.0,0.8747997063530011,0.021552241050925843,0.02463677215985374,87.47997063530015,0.8493249897396555,2025-12-02 23:20:59
1.55e-06,0.1,4,3,0.8845039380027968,0.8845039380027968,1.0,0.8755207890504948,0.033934190073833706,0.038758862722877714,87.55207890504953,0.8514240356338137,2025-12-02 23:27:24
1.55e-06,0.1,5,3,0.8845039380027968,0.8845039380027968,1.0,0.873444016212755,0.013798873854357088,0.015798235030779505,87.34440162127555,0.8453872376256538,2025-12-02 23:33:53
1.55e-06,0.1,1,4,0.9056583345957985,0.9056583345957985,1.0,0.9010450151669438,0.016718314781132525,0.018554361324594853,90.10450151669443,0.8749437414488171,2025-12-02 23:40:23
1.55e-06,0.1,2,4,0.9056583345957985,0.9056583345957985,1.0,0.8999830407873639,0.03798675913537498,0.04220830550555895,89.99830407873644,0.8698730748561673,2025-12-02 23:46:49
1.55e-06,0.1,3,4,0.9056583345957985,0.9056583345957985,1.0,0.899361293784685,0.02436458404359526,0.027090985805120003,89.93612937846854,0.8765176326233707,2025-12-02 23:53:19
1.55e-06,0.1,4,4,0.9056583345957985,0.9056583345957985,1.0,0.8993904787360487,0.03491162646103942,0.03881698470958043,89.93904787360492,0.8718984163088662,2025-12-02 23:59:45
